transformation_id,source_id
1,53
2,53
3,53
4,53
5,53
6,53
7,53
8,53
9,53
10,53
11,53
12,53
13,53
1,66
2,66
3,66
4,66
5,66
6,66
7,66
8,66
9,66
10,66
11,66
12,66
13,66
1,67
2,67
3,67
4,67
5,67
6,67
7,67
8,67
9,67
10,67
11,67
12,67
13,67
1,68
2,68
3,68
4,68
5,68
6,68
7,68
8,68
9,68
10,68
11,68
12,68
13,68
1,75
2,75
3,75
4,75
5,75
6,75
7,75
8,75
9,75
10,75
11,75
12,75
13,75
1,76
2,76
3,76
4,76
5,76
6,76
7,76
8,76
9,76
10,76
11,76
12,76
13,76
1,91
2,91
3,91
4,91
5,91
6,91
7,91
8,91
9,91
10,91
11,91
12,91
13,91
1,107
2,107
3,107
4,107
5,107
6,107
7,107
8,107
9,107
10,107
11,107
12,107
13,107
1,108
2,108
3,108
4,108
5,108
6,108
7,108
8,108
9,108
10,108
11,108
12,108
13,108
1,109
2,109
3,109
4,109
5,109
6,109
7,109
8,109
9,109
10,109
11,109
12,109
13,109
1,110
2,110
3,110
4,110
5,110
6,110
7,110
8,110
9,110
10,110
11,110
12,110
13,110
1,112
2,112
3,112
4,112
5,112
6,112
7,112
8,112
9,112
10,112
11,112
12,112
13,112
1,115
2,115
3,115
4,115
5,115
6,115
7,115
8,115
9,115
10,115
11,115
12,115
13,115
1,119
2,119
3,119
4,119
5,119
6,119
7,119
8,119
9,119
10,119
11,119
12,119
13,119
14,119
15,119
1,120
2,120
3,120
4,120
5,120
6,120
7,120
8,120
9,120
10,120
11,120
12,120
13,120
14,120
15,120
1,121
2,121
3,121
4,121
5,121
6,121
7,121
8,121
9,121
10,121
11,121
12,121
13,121
14,121
15,121
1,125
2,125
3,125
4,125
5,125
6,125
7,125
8,125
9,125
10,125
11,125
12,125
13,125
14,125
15,125
16,125
17,125
1,126
2,126
3,126
4,126
5,126
6,126
7,126
8,126
9,126
10,126
11,126
12,126
13,126
14,126
15,126
16,126
17,126
1,127
2,127
3,127
4,127
5,127
6,127
7,127
8,127
9,127
10,127
11,127
12,127
13,127
14,127
15,127
16,127
17,127
1,131
2,131
3,131
4,131
5,131
6,131
7,131
8,131
9,131
10,131
11,131
12,131
13,131
14,131
15,131
16,131
17,131
18,131
19,131
1,132
2,132
3,132
4,132
5,132
6,132
7,132
8,132
9,132
10,132
11,132
12,132
13,132
14,132
15,132
16,132
17,132
18,132
19,132
1,133
2,133
3,133
4,133
5,133
6,133
7,133
8,133
9,133
10,133
11,133
12,133
13,133
14,133
15,133
16,133
17,133
18,133
19,133
1,147
2,147
3,147
4,147
5,147
6,147
7,147
8,147
9,147
10,147
11,147
12,147
13,147
14,147
15,147
16,147
17,147
18,147
19,147
1,148
2,148
3,148
4,148
5,148
6,148
7,148
