source_id,transformation_name,step_name,connection
1,check_duplicate_posts,fact_employees,datamarts
2,delete_deviations,access_token 2,fender_test
3,delete_deviations,fact_shiplog_route_deviations,fender_test
4,delete_deviations,work_fender_deviations,fender_test
5,delete_deviations,access_token 2,fender_dev
6,delete_deviations,fact_fender_deviations_dev,fender_dev
7,delete_deviations,work_fender_scheduledtrips_hashes,fender_dev
8,delete_deviations,access_token 2,fender_prod
9,delete_deviations,fact_shiplog_route_deviations,fender_prod
10,delete_deviations,work_fender_deviations,fender_prod
11,delete_environmental_totals,access_token,fender_prod
12,delete_environmental_totals,totals_actual,fender_prod
13,delete_environmental_totals,totals_fender,fender_prod
14,delete_environmental_totals,access_token,fender_test
15,delete_environmental_totals,totals_actual,fender_test
16,delete_environmental_totals,totals_fender,fender_test
17,delete_environmental_totals,access_token,fender_dev
18,delete_environmental_totals,totals_actual,fender_dev
19,delete_environmental_totals,totals_fender,fender_dev
20,delete_gpstrips,access_token 2,fender_test
21,delete_gpstrips,fact_fender_gpstrips,fender_test
22,delete_gpstrips,work_fender_gpstrips_hashes,fender_test
23,delete_gpstrips,access_token 2,fender_dev
24,delete_gpstrips,fact_fender_gpstrips,fender_dev
25,delete_gpstrips,work_fender_gpstrips_hashes,fender_dev
26,delete_gpstrips,access_token 2,fender_prod
27,delete_gpstrips,fact_fender_gpstrips,fender_prod
28,delete_gpstrips,work_fender_gpstrips_hashes,fender_prod
29,delete_rutesett,access_token 2,fender_prod
30,delete_rutesett,fact_fender_trips_dev,fender_prod
31,delete_rutesett,work_fender_scheduledtrips_hashes,fender_prod
32,delete_rutesett,access_token 2,fender_test
33,delete_rutesett,fact_fender_trips_dev,fender_test
34,delete_rutesett,work_fender_scheduledtrips_hashes,fender_test
35,delete_rutesett,access_token 2,fender_dev
36,delete_rutesett,fact_fender_trips_dev,fender_dev
37,delete_rutesett,work_fender_scheduledtrips_hashes,fender_dev
38,delete_trafikkmeldinger,access_token 2,fender_test
39,delete_trafikkmeldinger,fact_trafikkmeldinger,datamarts
40,delete_trafikkmeldinger,work_fender_trafficmessage_hashes_dev,fender_test
41,delete_trafikkmeldinger,access_token 2,fender_prod
42,delete_trafikkmeldinger,fact_trafikkmeldinger,datamarts
43,delete_trafikkmeldinger,work_fender_trafficmessage_hashes,fender_prod
44,delete_trafikkmeldinger,access_token,fender_dev
45,delete_trafikkmeldinger,fact_trafikkmeldinger,datamarts
46,delete_trafikkmeldinger,work_fender_trafficmessage_hashes,fender_dev
47,dimension_relation_values,AGLDIMENSION,agresso_m7_read
48,dimension_relation_values,AGLDIMVALUE,agresso_m7_read
49,dimension_relation_values,AGLDIMVALUE (dim_1),agresso_m7_read
50,dimension_relation_values,AGLRELATION,agresso_m7_read
51,dimension_relation_values,AGLRELVALUE,agresso_m7_read
52,dim_account_relations,dim_accounts,datamarts
53,dim_account_relations,work_account_relations,datamarts
54,dim_agldimension,agresso.AGLDIMENSION,agresso_m7_read
55,dim_aglvalue,Egne/leide,agresso_m7_read
56,dim_aglvalue,agresso.AGLDIMVALUE,agresso_m7_read
57,dim_aglvalue,dim_4_relation,agresso_m7_read
58,dim_aglvalue,imo,agresso_m7_read
